	category	psmiles	compound	smiles	average size	water3	logkd
485	PS	[*]C=C[*]c1ccccc1	diclofenac (DCF)	C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl	700	3	0.397940009
1052	PS	[*]C=C[*]c1ccccc1	azoxystrobin	CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)OC	100	2	-0.698970004
820	PE	[*]C=C[*]	Cyclohexene	C1CCC=CC1	150	1	1.15
155	PA	[*]NCCCCCCCC(=O)[*]	17B-estradiol (E2)	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O	350	3	3.233123079
778	PS	[*]C=C[*]c1ccccc1	Sulfadiazine	C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N	221.5	3	0.833
751	PS	[*]C=C[*]c1ccccc1	pyrene	C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2	125	1	2.278753601
248	PE	[*]C=C[*]	2,2′,4,5,6′-pentachlorobiphenyl	C1=CC(=C(C(=C1)Cl)C2=CC(=C(C=C2Cl)Cl)Cl)Cl	225	3	6.19
441	PE	[*]C=C[*]	2,4,4'-trichlorobiphenyl	C1=CC(=CC=C1C2=C(C=C(C=C3)Cl)Cl)Cl	150	1	5.4
999	PE	[*]C=C[*]	Di-n-propyl ether	CCCOCCC	150	1	1.15
542	PVC	[*]C=C[*]Cl	3-hydroxyphenanthrene	C1=CC=C2C(=C1)C=CC3=C2C=C(C=C3)O	150	1	4.92
117	PE	[*]C=C[*]	Oxytetracycline	C[C@@]1([C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O	225	3	0.623
840	PVC	[*]C=C[*]Cl	tetrabromobisphenol-A	CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br	150	1	3.76
782	PP	[*]CC([*])C	sulfadiazine (SDZ)	C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N	117.29	2	0.897627091
291	PE	[*]C=C[*]	PCB 138	C1=CC(=C(C(=C1C2=CC(=C(C=C2Cl)Cl)Cl)Cl)Cl)Cl	150	3	6.74
1090	PP	[*]CC([*])C	trimethoprim (TMP)	COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N	117.29	2	0.986771734
381	PP	[*]CC([*])C	2,2′,5,5′-tetrachlorobiphenyl	C1=CC(=C(C=C1Cl)C2=C(C=CC(=C2)Cl)Cl)Cl	257.5	3	5.09
1048	PE	[*]C=C[*]	picoxystrobin	CO/C=C(\C1=CC=CC=C1COC2=CC=CC(=N2)C(F)(F)F)/C(=O)OC	100	2	-1.0
200	PE	[*]C=C[*]	Pentachlorobenzene	C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl	225	3	5.22
835	PP	[*]CC([*])C	nadolol (NAD)	CC(C)(C)NCC(COC1=CC=CC2=C1C[C@@H]([C@@H](C2)O)O)O 	94	2	-0.698970004
1049	PS	[*]C=C[*]c1ccccc1	picoxystrobin	CO/C=C(\C1=CC=CC=C1COC2=CC=CC(=N2)C(F)(F)F)/C(=O)OC	100	2	-0.698970004
1092	PVC	[*]C=C[*]Cl	trimethoprim (TMP)	COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N	86.92	2	0.924279286
505	PP	[*]CC([*])C	PCB 5	C1=CC=C(C=C1)C2=C(C(=CC=C2)Cl)Cl	150	3	4.98
894	PE	[*]C=C[*]	Amoxicillin	CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C	95	1	0.924
1095	PP	[*]CC([*])C	trimethoprim (TMP)	COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N	117.29	3	0.591064607
340	PP	[*]CC([*])C	2,3′,4,4-tetrachlorobiphenyl	C1=CC(=C(C=C1C2=C(C=C(C=C2)Cl)Cl)Cl)Cl 	257.5	3	5.26
154	PVC	[*]C=C[*]Cl	17B-estradiol (E2)	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O	80	2	1.012837225
1012	PS	[*]C=C[*]c1ccccc1	norfloxacin (NOR)	CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O	0.055	2	3.977723605
651	PET	[*]OCCOC(=O)c1ccc(C([*])=O)cc1	fluoranthene	C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4	3000	1	4.248642594
1082	PVC	[*]C=C[*]Cl	trimethoprim	COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N	150	1	0.92
1096	PS	[*]C=C[*]c1ccccc1	trimethoprim (TMP)	COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N	132.05	3	0.86332286
322	PS	[*]C=C[*]c1ccccc1	BDE-47	C1=CC(=C(C=C1Br)Br)OC2=C(C=C(C=C2)Br)Br	4000	2	1.025305865
702	PS	[*]C=C[*]c1ccccc1	naphthalene	C1=CC=C2C=CC=CC2=C1	10	2	3.998869364
682	PP	[*]CC([*])C	naphthalene	C1=CC=C2C=CC=CC2=C1	3000	1	3.492355231
82	PE	[*]C=C[*]	PFPeA	C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O	9.5	3	1.88592634
679	PE	[*]C=C[*]	naphthalene	C1=CC=C2C=CC=CC2=C1	219	1	4.143735942
464	PE	[*]C=C[*]	2,2',5-trichlorobiphenyl	C1=CC=C(C(=C1)C2=C(C=CC(=C2)Cl)Cl)Cl	150	1	4.9
789	PVC	[*]C=C[*]Cl	sulfadiazine (SDZ)	C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N	86.92	3	0.73239376
1077	PS	[*]C=C[*]c1ccccc1	benzophenone-3	COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O	75	2	2.574031268
333	PP	[*]CC([*])C	PCB 105	C1=CC(=C(C=C1C2=C(C(=C(C=C2)Cl)Cl)Cl)Cl)Cl	150	3	5.77
10	PS	[*]C=C[*]c1ccccc1	Perfluorooctadecanoic acid 	C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	10	3	3.22
470	PP	[*]CC([*])C	diclofenac	C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl	175	2	0.707570176
32	PS	[*]C=C[*]c1ccccc1	PFTrA	C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O  	9.5	1	3.316305902
669	PE	[*]C=C[*]	Dibenzanthracene	C1=CC=C2C=C3C4=CC=CC=C4C5=CC=CC=C5C3=CC2=C1	225	3	7.87
413	PE	[*]C=C[*]	1,3-dinitrobenzene	C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-]	280	2	1.857332496
580	PP	[*]CC([*])C	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	94	2	2.333850145
382	PE	[*]C=C[*]	2,2′,5,5′-tetrachlorobiphenyl	C1=CC(=C(C=C1Cl)C2=C(C=CC(=C2)Cl)Cl)Cl	95	1	5.01
706	PS	[*]C=C[*]c1ccccc1	naphthalene	C1=CC=C2C=CC=CC2=C1	0.1219	2	4.315588334
649	PE	[*]C=C[*]	fluoranthene	C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4	150	1	4.9
1045	PE	[*]C=C[*]	Sertraline	CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl	135	2	3.522
797	PE	[*]C=C[*]	fluorene	C1C2=CC=CC=C2C3=CC=CC=C31	219	1	4.322219295
1051	PE	[*]C=C[*]	azoxystrobin	CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)OC	100	2	-1.0
378	PE	[*]C=C[*]	2,2',5,5'-tetrachlorobiphenyl	C1=CC(=C(C=C1Cl)C2=C(C=CC(=C2)Cl)Cl)Cl	150	1	5.5
89	PA	[*]NCCCCCCCC(=O)[*]	PFBuA	C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O	3000	2	0.698970004
601	PE	[*]C=C[*]	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	225	3	3.685741739
213	PE	[*]C=C[*]	2,2′,3,4,4′,5,5′-heptachlorobiphenyl 	C1=C(C(=CC(=C1Cl)Cl)Cl)C2=CC(=C(C(=C2Cl)Cl)Cl)Cl	150	1	7.0
1021	PE	[*]C=C[*]	Ethyl benzoate	CCOC(=O)C1=CC=CC=C1	150	1	2.81
133	PE	[*]C=C[*]	naproxen (NPX)	C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O	10	1	0.531478917
346	PE	[*]C=C[*]	3,3′,4,4′,5-pentachlorobiphenyl	C1=CC(=C(C=C1C2=CC(=C(C(=C2)Cl)Cl)Cl)Cl)Cl  	225	3	7.78
734	PE	[*]C=C[*]	pyrene	C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2	125	1	3.267171728
7	PE	[*]C=C[*]	Tetrachloroethene	C(=C(Cl)Cl)(Cl)Cl	150	1	2.43
1019	PE	[*]C=C[*]	atrazine (ATR)	CCNC1=NC(=NC(=N1)Cl)NC(C)C	150	2	0.880813592
320	PP	[*]CC([*])C	BDE-47	C1=CC(=C(C=C1Br)Br)OC2=C(C=C(C=C2)Br)Br	4000	2	2.480006943
912	PE	[*]C=C[*]	"
2,3,5
-Trimethyl phenol"	CC1=CC(=C(C(=C1)O)C)C	150	1	1.49
187	PS	[*]C=C[*]c1ccccc1	beta-Hexachlorocyclohexane	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	221.5	3	2.63
552	PE	[*]C=C[*]	chrysene	C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43	150	3	6.39
304	PE	[*]C=C[*]	PCB-149	C1=CC(=C(C(=C1Cl)C2=CC(=C(C=C2Cl)Cl)Cl)Cl)Cl	100	3	6.149999986
31	PS	[*]C=C[*]c1ccccc1	PFTrA	C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O  	9.5	1	3.022057021
714	PE	[*]C=C[*]	Benzoapyrene	C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3 	225	3	7.17
240	PE	[*]C=C[*]	1,3,5-trichlorobenzene (TeCB)	C1=C(C=C(C=C1Cl)Cl)Cl	301	1	3.764990138
848	PVC	[*]C=C[*]Cl	tetrabromobisphenol-A	CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br	120	2	3.764475027
174	PE	[*]C=C[*]	hexachlorobenzene (HeCB)	C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl	154.35	1	4.571390854
245	PE	[*]C=C[*]	2,2′,3,4′,5,6-hexachlorobiphenyl	C1=CC(=C(C(=C1)Cl)C2=CC(=C(C(=C2Cl)Cl)Cl)Cl)Cl	95	1	6.18
56	PS	[*]C=C[*]c1ccccc1	Perfluorooctanoic acid	C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	10	1	0.92
630	PE	[*]C=C[*]	Phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	225	3	4.44
583	PS	[*]C=C[*]c1ccccc1	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	175	2	2.913813852
959	PET	[*]OCCOC(=O)c1ccc(C([*])=O)cc1	metronidazole	CC1=NC=C(N1CCO)[N+](=O)[O-]	175	2	0.559906625
145	PA	[*]NCCCCCCCC(=O)[*]	estriol (E3)	C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O	350	3	2.708760724
90	PS	[*]C=C[*]c1ccccc1	PFDS	C(C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F	9.5	1	2.828273112
392	PE	[*]C=C[*]	PCB 101	C1=CC(=C(C=C1Cl)C2=CC(=C(C=C2Cl)Cl)Cl)Cl	150	3	6.55
310	PE	[*]C=C[*]	BDE-47	C1=CC(=C(C=C1Br)Br)OC2=C(C=C(C=C2)Br)Br	150	1	0.93
359	PP	[*]CC([*])C	PCB-77	C1=CC(=C(C=C1C2=CC(=C(C=C2)Cl)Cl)Cl)Cl	637.5	3	3.072837875
93	PE	[*]C=C[*]	perfluorooctanesulfonate	C(C(C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F	150	3	1.52
954	PE	[*]C=C[*]	1-methylnaphthalene	CC1=CC=CC2=CC=CC=C12	150	2	3.179091977
876	PE	[*]C=C[*]	Diisobutyl phthalate	CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C	150	1	3.23
376	PVC	[*]C=C[*]Cl	2,2‘,4,5‘,6- pentachlorobiphenyl	C1=CC(=C(C=C1Cl)C2=C(C=C(C=C2Cl)Cl)Cl)Cl	150	1	3.66
243	PE	[*]C=C[*]	1,3,5-trichlorobenzene (TeCB)	C1=C(C=C(C=C1Cl)Cl)Cl	301	1	4.101458365
967	PE	[*]C=C[*]	difenoconazole (DIFE)	CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl	112.5	2	3.309630167
87	PS	[*]C=C[*]c1ccccc1	PFBA	C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O	9.5	3	2.133538908
214	PE	[*]C=C[*]	2,2′,3,4,4′,5,5′-heptachlorobiphenyl	C1=C(C(=CC(=C1Cl)Cl)Cl)C2=CC(=C(C(=C2Cl)Cl)Cl)Cl	135	2	7.0
444	PE	[*]C=C[*]	PCB-31	C1=CC(=CC=C1C2=C(C=CC(=C2)Cl)Cl)Cl	100	1	5.0
173	PE	[*]C=C[*]	hexachlorobenzene (HeCB)	C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl	132.5	1	4.402056657
425	PE	[*]C=C[*]	DDT	C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl	225	3	5.096910013
903	PVC	[*]C=C[*]Cl	amoxicillin (AMX)	CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C	86.92	2	1.392696953
118	PE	[*]C=C[*]	tetracycline	C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O	150	1	1.83
119	PA	[*]NCCCCCCCC(=O)[*]	tetracycline (TC)	C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O	134.2	2	2.551449998
744	PE	[*]C=C[*]	pyrene	C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2	219	1	5.149219113
0	PP	[*]CC([*])C	2,2′,3,4′,5-pentachlorobiphenyl	 C1=CC(=C(C=C1Cl)Cl)C2=C(C(=CC(=C2)Cl)Cl)Cl	257.5	3	5.51
394	PE	[*]C=C[*]	PCB-101	C1=CC(=C(C=C1Cl)C2=CC(=C(C=C2Cl)Cl)Cl)Cl	100	1	5.580000004
401	PE	[*]C=C[*]	2,4-dichlorophenol	C1=CC(=C(C=C1Cl)Cl)O	280	2	2.691081492
404	PET	[*]OCCOC(=O)c1ccc(C([*])=O)cc1	2,4-dichlorophenol (DCP)	C1=CC(=C(C=C1Cl)Cl)O	150	3	1.336459734
752	PS	[*]C=C[*]c1ccccc1	pyrene	C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2	125	1	2.322219295
728	PP	[*]CC([*])C	3,6-CCZ	C1=CC2=C(C=C1Cl)C3=C(N2)C=CC(=C3)Cl  	150	3	2.133538908
162	PVC	[*]C=C[*]Cl	norethisterone (NOR)	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34	124.2	2	2.23299611
114	PE	[*]C=C[*]	Trichloromethane	C(Cl)(Cl)Cl	150	1	1.84
150	PE	[*]C=C[*]	17B-estradiol (E2)	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O	510.9	2	2.936312634
684	PE	[*]C=C[*]	naphthalene	C1=CC=C2C=CC=CC2=C1	50	2	2.569958818
673	PE	[*]C=C[*]	naphthalene	C1=CC=C2C=CC=CC2=C1	3000	1	3.644615816
990	PS	[*]C=C[*]c1ccccc1	dibutyl phthalate (DBP)	CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	75	2	3.293583513
368	PE	[*]C=C[*]	2,3′,4,4′,5-pentachlorobiphenyl	C1=CC(=C(C=C1C2=CC(=C(C=C2Cl)Cl)Cl)Cl)Cl	135	2	6.4
543	PVC	[*]C=C[*]Cl	3-hydroxyphenanthrene	C1=CC=C2C(=C1)C=CC3=C2C=C(C=C3)O	150	1	5.0
477	PE	[*]C=C[*]	diclofenac (DCF)	C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl	10	1	1.509202522
1040	PE	[*]C=C[*]	methotrexate (MET)	CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O	94	2	-0.522878745
532	PE	[*]C=C[*]	1-Chloronaphthalene	C1=CC=C2C(=C1)C=CC=C2Cl 	150	1	3.4
625	PVC	[*]C=C[*]Cl	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	225	3	3.301029996
512	PE	[*]C=C[*]	Chlorobenzene	C1=CC=C(C=C1)Cl	150	1	2.56
984	PE	[*]C=C[*]	n-Octane	CCCCCCCC	150	1	3.23
72	PE	[*]C=C[*]	PFHxA	C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O	9.5	3	1.726727209
258	PE	[*]C=C[*]	1,2,3-trichlorobenzene (TeCB)	C1=CC(=C(C(=C1)Cl)Cl)Cl 	301	1	3.917463496
624	PVC	[*]C=C[*]Cl	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	127	3	3.227886705
993	PE	[*]C=C[*]	trifluralin (TFL)	CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]	132.5	1	4.273001272
135	PE	[*]C=C[*]	naproxen (NPX)	C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O	10	1	0.653212514
616	PE	[*]C=C[*]	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	225	3	4.712076998
516	PP	[*]CC([*])C	phenol	C1=CC=C(C=C1)O	3400	2	2.936312634
743	PE	[*]C=C[*]	pyrene	C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2	219	1	5.146128036
592	PVC	[*]C=C[*]Cl	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	94	2	1.209515015
929	PE	[*]C=C[*]	Sulfamethoxazole	CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N	135	2	2.845
501	PE	[*]C=C[*]	Bromobenzene	C1=CC=C(C=C1)Br	150	1	2.24
538	PE	[*]C=C[*]	alpha-Naphthol	C1=CC=C2C(=C1)C=CC=C2O	150	1	1.07
767	PP	[*]CC([*])C	Benzo[g,h,i]perylene	C1=CC2=C3C(=C1)C4=CC=CC5=C4C6=C(C=C5)C=CC(=C36)C=C2	257.5	3	6.69
581	PP	[*]CC([*])C	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	59	2	4.289998975
343	PP	[*]CC([*])C	PCB 110	C1=CC(=C(C=C1C2=C(C=CC(=C2Cl)Cl)Cl)Cl)Cl	150	3	5.63
791	PE	[*]C=C[*]	fluorene	C1C2=CC=CC=C2C3=CC=CC=C31	3000	1	3.698970004
1071	PE	[*]C=C[*]	benzophenone-3	COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O	75	2	2.477121255
293	PE	[*]C=C[*]	PCB 138 	C1=CC(=C(C(=C1C2=CC(=C(C=C2Cl)Cl)Cl)Cl)Cl)Cl	150	1	6.91
364	PP	[*]CC([*])C	PCB 118	C1=CC(=C(C=C1C2=CC(=C(C=C2Cl)Cl)Cl)Cl)Cl	150	3	5.71
733	PE	[*]C=C[*]	pyrene	C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2	125	1	3.217483944
659	PVC	[*]C=C[*]Cl	2-hydroxyanthracene (MOHA)	C1=CC=C2C=C3C=C(C=CC3=CC2=C1)O	140	2	2.290034611
14	PS	[*]C=C[*]c1ccccc1	PFODA	C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	9.5	3	3.219558332
686	PE	[*]C=C[*]	naphthalene	C1=CC=C2C=CC=CC2=C1	12	2	2.909983695
86	PS	[*]C=C[*]c1ccccc1	PFBA	C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O	9.5	1	0.968482949
370	PE	[*]C=C[*]	2,3′,4,4′,5-pentachlorobiphenyl 	C1=CC(=C(C=C1C2=CC(=C(C=C2Cl)Cl)Cl)Cl)Cl	150	1	6.4
165	PS	[*]C=C[*]c1ccccc1	levofloxacin (LEV)	C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O	0.05	2	3.632021767
131	PP	[*]CC([*])C	Naproxen	C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O	150	3	0.27
335	PE	[*]C=C[*]	2,3',4,4'-tetrachlorobiphenyl	C1=CC(=C(C=C1C2=C(C=C(C=C2)Cl)Cl)Cl)Cl	150	1	5.9
59	PS	[*]C=C[*]c1ccccc1	PFOA	C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	9.5	1	0.924279286
709	PE	[*]C=C[*]	Naphthalene	C1=CC=C2C=CC=CC2=C1	135	2	3.77
676	PE	[*]C=C[*]	naphthalene	C1=CC=C2C=CC=CC2=C1	219	1	3.947610149
354	PP	[*]CC([*])C	PCB 77	C1=CC(=C(C=C1C2=CC(=C(C=C2)Cl)Cl)Cl)Cl	150	3	0.07
424	PE	[*]C=C[*]	DDT	C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl	225	3	5.079181246
292	PP	[*]CC([*])C	PCB 138	C1=CC(=C(C(=C1C2=CC(=C(C=C2Cl)Cl)Cl)Cl)Cl)Cl	150	3	6.06
41	PS	[*]C=C[*]c1ccccc1	Perfluoroundecanoic acid	C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	221.5	3	2.752
329	PE	[*]C=C[*]	2,3,3′,4,4′-pentachlorobiphenyl	C1=CC(=C(C=C1C2=C(C(=C(C=C2)Cl)Cl)Cl)Cl)Cl	225	3	6.97
614	PE	[*]C=C[*]	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	225	3	4.580924976
429	PE	[*]C=C[*]	Dichlorodiphenyltrichloroethane	C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl	225	3	4.986
79	PS	[*]C=C[*]c1ccccc1	PFPeA	C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O	9.5	1	1.079181246
693	PS	[*]C=C[*]c1ccccc1	naphthalene	C1=CC=C2C=CC=CC2=C1	261	2	2.769967801
28	PS	[*]C=C[*]c1ccccc1	Perfluorotridecanoic acid	C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O	10	1	3.02
707	PS	[*]C=C[*]c1ccccc1	naphthalene	C1=CC=C2C=CC=CC2=C1	0.1219	2	4.397940009
254	PE	[*]C=C[*]	PCB 44	C1=CC(=C(C(=C1)Cl)Cl)C2=C(C=CC(=C2)Cl)Cl	150	3	6.03
968	PVC	[*]C=C[*]Cl	difenoconazole (DIFE)	CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl	112.5	2	2.204119983
458	PET	[*]OCCOC(=O)c1ccc(C([*])=O)cc1	4-chlorophenol (MCP)	C1=CC(=CC=C1O)Cl	150	3	1.056904851
383	PE	[*]C=C[*]	PCB 52	C1=CC(=C(C=C1Cl)C2=C(C=CC(=C2)Cl)Cl)Cl	150	1	5.11
313	PA	[*]NCCCCCCCC(=O)[*]	BDE-47	C1=CC(=C(C=C1Br)Br)OC2=C(C=C(C=C2)Br)Br	4000	2	2.510008513
84	PS	[*]C=C[*]c1ccccc1	PFPeA	C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O	9.5	3	2.564547712
574	PET	[*]OCCOC(=O)c1ccc(C([*])=O)cc1	phenanthrene	C1=CC=C2C(=C1)C=CC3=CC=CC=C32	2000	2	0.698970004
136	PP	[*]CC([*])C	naproxen (NPX)	C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O	1000	1	0.204119983
111	PS	[*]C=C[*]c1ccccc1	PFBS	C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F	9.5	1	1.442479769
194	PP	[*]CC([*])C	δ-Hexachlorocyclohexane	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	150	3	2.23
178	PE	[*]C=C[*]	alpha-HCH	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	150	3	2.41
555	PS	[*]C=C[*]c1ccccc1	Chrysene	C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43	221.5	3	6.63
723	PVC	[*]C=C[*]Cl	3,6-BCZ	C1=CC2=C(C=C1Br)C3=C(N2)C=CC(=C3)Br	150	3	1.86569606
496	PS	[*]C=C[*]c1ccccc1	nitrobenzene	C1=CC=C(C=C1)[N+](=O)[O-]	30	2	2.430075056
129	PA	[*]NCCCCCCCC(=O)[*]	tetracycline (TC)	C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O	134.2	3	0.643452676
715	PP	[*]CC([*])C	Benzoapyrene	C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3 	257.5	3	6.1
337	PE	[*]C=C[*]	2,3′,4,4′-tetrachlorobiphenyl	C1=CC(=C(C=C1C2=C(C=C(C=C2)Cl)Cl)Cl)Cl	95	1	6.17
